Boston Celtics,BOS,Atlantic Division
Brooklyn Nets,BKN,Atlantic Division
New York Knicks,NYK,Atlantic Division
Philadelphia 76ers,PHI,Atlantic Division
Toronto Raptors,TOR,Atlantic Division
Chicago Bulls,CHI,Central Division
Cleveland Cavaliers,CLE,Central Division
Detroit Pistons,DET,Central Division
Indiana Pacers,IND,Central Division
Milwaukee Bucks,MIL,Central Division
Atlanta Hawks,ATL,Southeast Division
Charlotte Hornets,CHA,Southeast Division
Miami Heat,MIA,Southeast Division
Orlando Magic,ORL,Southeast Division
Washington Wizards,WAS,Southeast Division
Dallas Mavericks,DAL,Southwest Division
Houston Rockets,HOU,Southwest Division
Memphis Grizzlies,MEM,Southwest Division
New Orleans Pelicans,NOR,Southwest Division
San Antonio Spurs,SAS,Southwest Division
Denver Nuggets,DEN,Northwest Division
Minnesota Timberwolves,MIN,Northwest Division
Oklahoma City Thunder,OKL,Northwest Division
Portland Trail Blazers,POR,Northwest Division
Utah Jazz,UTH,Northwest Division
Golden State Warriors,GSW,Pacific Division
Los Angeles Clippers,LAC,Pacific Division
Los Angeles Lakers,LAL,Pacific Division
Phoenix Suns,PHO,Pacific Division
Sacramento Kings,SAC,Pacific Division
